date,region,produit,canal,visites,ventes,cout,profit,quantite,remise,satisfaction,temperature,commentaire
2025-09-03,Sud,Delta,Partenaire,726,1473.69,892.43,581.25,11,0.042,4,1.14,"Très satisfait"
2025-09-04,Ouest,Gamma,Web,782,1620.94,986.20,634.74,16,0.118,4,1.27,"Moyen"
2025-09-05,Est,Beta,Magasin,880,1446.98,749.76,697.22,25,0.102,3,2.34,"Service correct"
2025-09-06,Nord,Alpha,Partenaire,674,948.35,597.44,350.91,11,0.081,4,0.54,"Support lent"
2025-09-07,Sud,Delta,Web,623,1578.33,984.45,593.88,12,0.052,4,1.40,"Très satisfait"
2025-09-08,Ouest,Gamma,Magasin,605,1438.67,835.82,602.85,13,0.038,4,2.57,"Retard de livraison"
2025-09-09,Est,Beta,Partenaire,687,611.45,398.02,213.42,10,0.052,4,0.15,"RAS"
2025-09-10,Nord,Alpha,Web,652,1145.78,769.77,376.01,13,0.040,4,2.96,"Moyen"
2025-09-11,Sud,Delta,Magasin,907,3276.36,1916.47,1359.89,26,0.099,4,-0.37,"Moyen"
2025-09-12,Ouest,Gamma,Partenaire,768,1498.03,919.12,578.91,15,0.120,5,5.28,"Bon rapport qualité/prix"
2025-09-13,Est,Beta,Web,746,923.31,612.32,310.99,15,0.082,4,1.60,"Service correct"
2025-09-14,Nord,Alpha,Magasin,656,1234.88,761.13,473.75,15,0.051,4,0.03,"Bon rapport qualité/prix"
2025-09-15,Sud,Delta,Partenaire,609,1031.40,649.52,381.88,8,0.039,3,0.63,"Bon rapport qualité/prix"
2025-09-16,Ouest,Gamma,Web,577,1006.56,630.49,376.07,9,0.055,4,2.70,"Très satisfait"
2025-09-17,Est,Beta,Magasin,746,1195.21,786.19,409.01,19,0.042,4,2.57,""
2025-09-18,Nord,Alpha,Partenaire,829,1492.74,1023.60,469.14,18,0.112,4,3.41,"Très satisfait"
2025-09-19,Sud,Delta,Web,781,2423.85,1483.70,940.15,19,0.126,3,0.18,"RAS"
2025-09-20,Ouest,Gamma,Magasin,785,2475.03,1454.54,1020.49,23,0.091,4,3.85,"Bon rapport qualité/prix"
2025-09-21,Est,Beta,Partenaire,649,710.64,463.75,246.89,11,0.038,4,3.11,"Très satisfait"
2025-09-22,Nord,Alpha,Web,581,785.93,484.26,301.67,9,0.050,4,1.00,"RAS"
2025-09-23,Sud,Delta,Magasin,551,1661.87,1014.00,647.87,12,0.053,4,3.89,"Moyen"
2025-09-24,Ouest,Gamma,Partenaire,602,1174.55,728.77,445.78,11,0.064,4,1.82,"Livraison rapide"
2025-09-25,Est,Beta,Web,743,996.99,615.17,381.83,16,0.096,4,2.65,"RAS"
2025-09-26,Nord,Alpha,Magasin,734,1592.25,1098.17,494.08,22,0.123,4,4.46,"Moyen"
2025-09-27,Sud,Delta,Partenaire,838,2277.88,1410.17,867.70,17,0.089,4,1.88,""
2025-09-28,Ouest,Gamma,Web,663,1064.72,617.29,447.43,10,0.041,4,3.96,"Moyen"
2025-09-29,Est,Beta,Magasin,618,1103.73,681.22,422.51,17,0.056,3,4.13,"Bon rapport qualité/prix"
2025-09-30,Nord,Alpha,Partenaire,647,755.07,491.41,263.67,9,0.073,4,4.51,"Service correct"
2025-10-01,Sud,Delta,Web,729,1838.30,1120.22,718.08,14,0.062,4,-0.81,"Service correct"
2025-10-02,Ouest,Gamma,Magasin,862,2507.72,1514.22,993.50,24,0.127,4,0.61,"Moyen"
2025-10-03,Est,Beta,Partenaire,810,923.08,559.37,363.71,16,0.132,4,4.59,"Moyen"
2025-10-04,Nord,Alpha,Web,753,1244.66,805.74,438.92,15,0.083,4,3.00,"Livraison rapide"
2025-10-05,Sud,Delta,Magasin,632,2104.95,1364.04,740.92,16,0.045,4,0.61,"Bon rapport qualité/prix"
2025-10-06,Ouest,Gamma,Partenaire,576,861.15,558.98,302.17,8,0.062,4,4.61,"Très satisfait"
2025-10-07,Est,Beta,Web,526,574.00,350.16,223.84,9,0.042,3,0.64,"Moyen"
2025-10-08,Nord,Alpha,Magasin,720,1386.87,916.35,470.52,17,0.045,,4.28,"Livraison rapide"
2025-10-09,Sud,Delta,Partenaire,810,1681.67,1019.24,662.43,14,0.112,3,1.83,"Packaging abîmé"
2025-10-10,Ouest,Gamma,Web,854,2028.46,1293.12,735.34,20,0.130,3,3.68,"Bon rapport qualité/prix"
2025-10-11,Est,Beta,Magasin,719,1192.82,732.54,460.28,20,0.082,4,1.31,"Très satisfait"
2025-10-12,Nord,Alpha,Partenaire,686,777.37,480.71,296.67,9,0.041,4,3.07,"Moyen"
2025-10-13,Sud,Delta,Web,693,1356.81,867.60,489.21,10,0.057,4,0.23,"Packaging abîmé"
2025-10-14,Ouest,Gamma,Magasin,668,2024.38,1366.90,657.48,18,0.036,4,1.85,"RAS"
2025-10-15,Est,Beta,Partenaire,736,890.30,537.06,353.25,14,0.053,5,1.21,"Recommande"
2025-10-16,Nord,Alpha,Web,703,1285.78,850.29,435.49,16,0.114,2,4.58,"Retard de livraison"
2025-10-17,Sud,Delta,Magasin,915,3798.34,2332.66,1465.68,30,0.131,4,2.32,"Packaging abîmé"
2025-10-18,Ouest,Gamma,Partenaire,833,1406.67,963.16,443.51,13,0.101,4,-0.25,""
2025-10-19,Est,Beta,Web,707,836.37,537.31,299.05,13,0.053,4,2.12,"Moyen"
2025-10-20,Nord,Alpha,Magasin,481,1017.10,607.00,410.09,12,0.051,4,0.48,"RAS"
2025-10-21,Sud,Delta,Partenaire,546,1108.21,656.36,451.85,9,0.052,3,1.97,"Moyen"
2025-10-22,Ouest,Gamma,Web,748,1722.12,1070.92,651.20,16,0.071,4,4.81,"Moyen"
2025-10-23,Est,Beta,Magasin,818,1584.86,1069.66,515.19,26,0.111,4,2.36,"RAS"
2025-10-24,Nord,Alpha,Partenaire,740,1369.55,852.16,517.40,17,0.128,4,2.60,""
2025-10-25,Sud,Delta,Web,728,2211.64,1354.66,856.97,17,0.079,5,2.51,"Packaging abîmé"
2025-10-26,Ouest,Gamma,Magasin,702,1950.75,1157.42,793.33,18,0.049,4,0.40,"Retard de livraison"
2025-10-27,Est,Beta,Partenaire,548,489.29,306.04,183.25,8,0.063,4,1.39,"Recommande"
2025-10-28,Nord,Alpha,Web,545,934.42,574.49,359.93,11,0.053,4,5.41,"Packaging abîmé"
2025-10-29,Sud,Delta,Magasin,864,3447.87,2059.04,1388.84,26,0.066,4,5.45,"Service correct"
2025-10-30,Ouest,Gamma,Partenaire,827,1814.53,1029.76,784.77,17,0.113,3,3.46,"Service correct"
2025-10-31,Est,Beta,Web,787,1131.25,669.46,461.79,19,0.106,4,5.54,"RAS"
2025-11-01,Nord,Alpha,Magasin,700,1463.95,902.49,561.46,17,0.071,3,4.56,"Bon rapport qualité/prix"
2025-11-02,Sud,Delta,Partenaire,703,1500.78,948.26,552.52,11,0.040,4,5.02,"Support lent"
2025-11-03,Ouest,Gamma,Web,688,944.48,590.32,354.16,9,0.042,4,3.64,"Livraison rapide"
2025-11-04,Est,Beta,Magasin,649,1105.53,723.37,382.15,17,0.038,3,2.47,"Bon rapport qualité/prix"
2025-11-05,Nord,Alpha,Partenaire,834,1071.02,637.25,433.78,13,0.056,3,5.21,"RAS"
2025-11-06,Sud,Delta,Web,875,2646.82,1584.56,1062.25,21,0.108,4,4.80,"Recommande"
2025-11-07,Ouest,Gamma,Magasin,843,2632.72,1589.68,1043.04,27,0.142,4,4.97,"Très satisfait"
2025-11-08,Est,Beta,Partenaire,828,1173.47,741.12,432.35,18,0.064,4,6.55,"Support lent"
2025-11-09,Nord,Alpha,Web,676,1110.38,692.36,418.03,13,0.061,4,6.87,"Bon rapport qualité/prix"
2025-11-10,Sud,Delta,Magasin,697,1761.89,1056.50,705.39,13,0.039,4,1.40,"Support lent"
2025-11-11,Ouest,Gamma,Partenaire,757,1197.94,687.07,510.86,11,0.058,4,6.59,"Recommande"
2025-11-12,Est,Beta,Web,799,949.01,570.86,378.15,15,0.050,5,3.94,"RAS"
2025-11-13,Nord,Alpha,Magasin,944,2372.58,1498.72,873.86,28,0.112,3,7.91,"Bon rapport qualité/prix"
2025-11-14,Sud,Delta,Partenaire,836,1773.01,1084.62,688.39,14,0.106,5,4.86,"Moyen"
2025-11-15,Ouest,Gamma,Web,816,1735.88,1186.34,549.55,17,0.076,3,4.00,"Très satisfait"
2025-11-16,Est,Beta,Magasin,734,1270.72,746.81,523.92,20,0.043,3,5.07,"Support lent"
2025-11-17,Nord,Alpha,Partenaire,677,805.49,502.52,302.97,9,0.044,4,8.38,"Livraison rapide"
2025-11-18,Sud,Delta,Web,649,1437.72,840.42,597.30,10,0.060,4,4.91,"Très satisfait"
2025-11-19,Ouest,Gamma,Magasin,829,2311.90,1451.55,860.35,22,0.057,4,6.58,"Recommande"
2025-11-20,Est,Beta,Partenaire,817,903.94,590.34,313.60,15,0.108,4,8.03,""
2025-11-21,Nord,Alpha,Web,989,1503.80,993.68,510.13,19,0.139,3,5.01,"Recommande"
2025-11-22,Sud,Delta,Magasin,981,3687.31,2294.60,1392.71,28,0.074,5,5.14,"Recommande"
2025-11-23,Ouest,Gamma,Partenaire,849,1323.35,802.56,520.78,12,0.042,4,1.59,"RAS"
2025-11-24,Est,Beta,Web,641,653.01,409.15,243.86,10,0.067,4,5.68,"Service correct"
2025-11-25,Nord,Alpha,Magasin,782,1781.95,1179.87,602.08,20,0.042,4,4.50,"Retard de livraison"
2025-11-26,Sud,Delta,Partenaire,861,2025.74,1199.51,826.23,14,0.041,5,6.51,"Retard de livraison"
2025-11-27,Ouest,Gamma,Web,914,2311.17,1422.74,888.43,23,0.114,4,5.89,"Très satisfait"
2025-11-28,Est,Beta,Magasin,1046,1894.29,1093.55,800.74,32,0.139,3,7.37,"Service correct"
2025-11-29,Nord,Alpha,Partenaire,945,1474.59,981.96,492.63,18,0.090,4,5.57,"RAS"
2025-11-30,Sud,Delta,Web,782,1411.00,902.59,508.41,10,0.045,4,9.08,"Recommande"
2025-12-01,Ouest,Gamma,Magasin,771,2301.35,1469.37,831.98,20,0.034,5,6.51,"Retard de livraison"
2025-12-02,Est,Beta,Partenaire,788,607.50,394.11,213.39,9,0.041,3,7.27,"Livraison rapide"
2025-12-03,Nord,Alpha,Web,886,1551.41,992.59,558.82,17,0.042,3,7.03,"Service correct"
2025-12-04,Sud,Delta,Magasin,981,3549.26,2135.34,1413.92,27,0.122,4,9.97,"Bon rapport qualité/prix"
2025-12-05,Ouest,Gamma,Partenaire,1027,2514.61,1562.28,952.33,24,0.128,4,7.71,"Bon rapport qualité/prix"
2025-12-06,Est,Beta,Web,860,1017.98,631.56,386.41,16,0.084,3,7.06,"Livraison rapide"
2025-12-07,Nord,Alpha,Magasin,818,1947.30,1225.09,722.21,21,0.050,5,7.51,"Recommande"
2025-12-08,Sud,Delta,Partenaire,795,1644.12,1096.32,547.80,12,0.046,3,7.05,"Service correct"
2025-12-09,Ouest,Gamma,Web,772,1679.29,1011.36,667.93,14,0.043,4,8.01,"Livraison rapide"
2025-12-10,Est,Beta,Magasin,864,1452.21,921.10,531.11,22,0.070,4,10.53,"Livraison rapide"
2025-12-11,Nord,Alpha,Partenaire,1082,2012.99,1218.91,794.08,24,0.114,4,8.42,"RAS"
2025-12-12,Sud,Delta,Web,1114,3233.10,1938.92,1294.18,24,0.124,4,8.02,"Bon rapport qualité/prix"
2025-12-13,Ouest,Gamma,Magasin,939,3105.99,1956.45,1149.54,30,0.085,,10.46,"Support lent"
2025-12-14,Est,Beta,Partenaire,852,844.39,514.26,330.13,13,0.058,4,9.00,"Bon rapport qualité/prix"
2025-12-15,Nord,Alpha,Web,817,1186.12,757.40,428.72,14,0.049,4,9.75,"Très satisfait"
2025-12-16,Sud,Delta,Magasin,1007,3557.12,2124.67,1432.46,27,0.056,4,7.58,"Bon rapport qualité/prix"
2025-12-17,Ouest,Gamma,Partenaire,1040,2129.43,1277.37,852.05,19,0.045,4,6.78,"Bon rapport qualité/prix"
2025-12-18,Est,Beta,Web,941,1405.97,893.32,512.65,22,0.094,3,7.70,"Support lent"
2025-12-19,Nord,Alpha,Magasin,1124,3204.14,2040.31,1163.83,37,0.137,4,7.05,"Packaging abîmé"
2025-12-20,Sud,Delta,Partenaire,935,2342.59,1329.42,1013.18,17,0.077,4,9.79,"Packaging abîmé"
2025-12-21,Ouest,Gamma,Web,939,1855.62,1108.88,746.74,17,0.064,3,8.06,"Retard de livraison"
2025-12-22,Est,Beta,Magasin,798,1162.93,681.43,481.49,18,0.048,3,8.08,"Service correct"
2025-12-23,Nord,Alpha,Partenaire,882,1156.98,756.80,400.18,13,0.045,3,10.94,"Packaging abîmé"
2025-12-24,Sud,Delta,Web,943,2663.21,1626.87,1036.33,18,0.041,4,9.96,"Packaging abîmé"
2025-12-25,Ouest,Gamma,Magasin,1100,3336.61,2042.12,1294.49,31,0.121,4,8.84,"Livraison rapide"
2025-12-26,Est,Beta,Partenaire,1128,1545.54,920.28,625.27,26,0.138,3,9.33,"Retard de livraison"
2025-12-27,Nord,Alpha,Web,1039,2008.17,1158.16,850.00,24,0.080,4,10.95,""
2025-12-28,Sud,Delta,Magasin,899,2890.16,1767.13,1123.03,21,0.041,5,13.69,"Packaging abîmé"
2025-12-29,Ouest,Gamma,Partenaire,863,1350.03,873.65,476.38,12,0.046,3,8.46,"Retard de livraison"
2025-12-30,Est,Beta,Web,924,1248.06,739.70,508.36,19,0.035,3,12.46,"Recommande"
2025-12-31,Nord,Alpha,Magasin,976,2583.32,1509.84,1073.48,27,0.042,4,12.82,"Moyen"
